low,average,high
"{NAME} seems to be particularly weak in {DIAMOND_CCF}, but their {STAR_CCF} allows them to offset some of that deficit.",{NAME}'s high {STAR_CCF} and low {DIAMOND_CCF} balance each other out to result in executive functioning comparable to their peers.,{NAME}'s relatively lower {DIAMOND_CCF} is more than offset by their high {STAR_CCF}.
"{NAME} seems to be particularly weak in {DIAMOND_SCF}, but their {STAR_SCF} allows them to offset some of that deficit.",{NAME}'s high {STAR_SCF} and low {DIAMOND_SCF} balance each other out to result in executive functioning comparable to their peers.,{NAME}'s relatively lower {DIAMOND_SCF} is more than offset by their high {STAR_SCF}.
